"","trial","binnumb","binstart","binend","in_testing","trialstart","offertime","offer_type","completiontime","nosepokestart","nosepokeend","CA1.1","CA1.2","CA1.3","CA1.4","CA1.5","CA1.6","CA1.7","CA1.8","CA1.9","CA1.10","CA1.11","CA1.12","CA1.13","CA1.14","CA1.15","CA3.1","CA3.2","CA3.3","CA3.4","CA3.5","CA3.6","CA3.7","CA3.8","CA3.9","CA3.10","CA3.11","CA3.12","CA3.13","CA3.14","CA3.15","CA3.16","CA3.17","CA3.18","CA3.19","CA3.20","CA3.21"
"1",3,1,457.669925,458.169925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,2,1,1,0,0,8,0,3,0,0,0,2,2,0,11,0,0,5,2,6,18,5,0,25,2,4,6,3,1,1,0,3,0,5,14,2
"2",3,2,458.169925,458.669925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,2,1,0,0,0,10,4,0,0,1,0,1,3,4,6,1,3,7,1,8,15,11,0,22,6,5,6,10,2,0,0,3,0,0,6,4
"3",3,3,458.669925,459.169925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,2,1,1,0,0,9,2,0,0,2,0,0,0,6,8,4,8,5,0,3,8,3,0,9,9,7,5,11,1,0,0,2,0,0,10,6
"4",3,4,459.169925,459.669925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,2,4,1,0,0,2,0,4,0,6,0,2,0,4,6,6,10,5,1,6,13,5,0,16,6,4,7,9,0,1,0,6,0,1,9,12
"5",3,5,459.669925,460.169925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,1,4,2,0,0,1,6,1,0,8,0,1,2,2,7,12,9,4,1,7,13,2,0,10,16,7,3,17,0,1,0,2,0,1,8,3
"6",3,6,460.169925,460.669925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,0,2,0,0,0,0,8,3,0,5,0,0,1,7,3,3,9,9,1,2,16,4,0,11,6,6,3,19,0,0,0,5,0,0,4,9
"7",3,7,460.669925,461.169925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,0,1,0,0,1,3,6,1,0,0,0,4,2,6,4,7,13,10,0,4,18,7,0,13,13,6,3,13,0,0,0,4,0,3,9,10
"8",3,8,461.169925,461.669925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,0,1,0,0,1,4,1,1,0,2,0,0,1,5,4,5,17,7,1,6,18,5,0,15,13,9,3,7,2,0,0,3,0,0,6,9
"9",3,9,461.669925,462.169925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,3,3,2,2,0,1,2,1,0,2,0,1,3,5,5,5,12,7,1,9,2,2,0,13,10,8,4,8,1,0,0,4,0,0,0,0
"10",3,10,462.169925,462.669925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,0,1,1,0,1,1,3,1,0,2,0,0,0,4,8,10,11,9,2,9,14,6,0,12,18,5,8,17,0,0,0,2,0,0,10,9
"11",3,11,462.669925,463.169925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,2,0,0,0,1,1,7,0,0,3,0,0,0,9,3,3,6,5,1,7,11,4,0,10,20,8,3,21,1,0,2,3,1,0,2,3
"12",3,12,463.169925,463.669925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,2,1,0,0,0,3,1,4,0,2,0,1,2,10,7,3,7,4,1,6,10,9,0,12,11,10,3,13,1,0,0,4,1,2,8,8
"13",3,13,463.669925,464.169925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,2,4,0,0,0,4,0,0,0,1,0,1,0,4,4,6,8,4,0,7,11,3,0,16,17,7,4,9,0,0,0,4,0,2,10,8
"14",3,14,464.169925,464.669925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,1,2,1,0,0,3,1,1,0,3,1,2,1,6,3,4,11,3,1,13,13,7,0,13,11,7,3,11,1,0,0,4,0,0,3,10
"15",3,15,464.669925,465.169925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,0,1,0,0,0,2,4,2,0,0,0,1,6,10,4,2,4,7,1,10,14,2,0,15,7,14,2,9,3,0,0,4,0,0,4,4
"16",3,16,465.169925,465.669925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,0,0,0,0,0,0,4,1,0,1,0,1,2,3,3,0,2,3,0,27,20,5,0,10,8,7,2,12,1,0,0,4,0,0,6,11
"17",3,17,465.669925,466.169925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,1,0,1,0,1,1,3,2,0,0,0,2,0,4,4,0,0,4,2,16,21,9,0,19,11,7,4,7,0,0,0,4,1,1,2,5
"18",3,18,466.169925,466.669925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,0,1,1,0,1,3,1,0,0,0,0,1,2,6,5,1,0,4,0,25,15,6,0,17,10,5,2,7,1,0,0,4,1,0,4,5
"19",3,19,466.669925,467.169925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,1,0,1,0,0,3,2,1,0,2,0,0,1,3,3,2,0,5,0,21,16,2,0,12,8,8,5,10,0,0,0,2,0,0,2,9
"20",3,20,467.169925,467.669925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,0,0,0,0,0,1,4,1,0,0,0,0,1,3,5,2,0,5,0,11,20,2,0,15,13,3,4,13,0,0,0,3,0,2,3,2
"21",3,21,467.669925,468.169925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,1,3,0,0,1,1,5,0,0,3,0,1,1,8,5,2,1,7,3,13,10,8,0,8,21,7,5,14,0,0,0,4,1,3,4,2
"22",3,22,468.169925,468.669925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,0,3,0,0,0,3,2,1,0,4,0,0,3,4,7,3,15,5,0,16,7,6,0,15,6,5,1,6,1,0,0,4,0,0,1,4
"23",3,23,468.669925,469.169925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,2,3,1,1,1,3,2,1,0,1,0,2,0,5,5,5,18,5,1,9,11,0,1,17,10,5,3,6,2,0,0,3,0,2,8,18
"24",3,24,469.169925,469.669925,TRUE,457.669925,467.72315,"B",482.208275,474.832925,479.9339,4,3,1,0,0,1,3,2,0,5,0,1,0,7,2,2,8,5,2,6,7,5,0,14,10,6,2,9,0,0,0,1,0,0,2,5
